EXPOCODE,adjustment,inversion,inversion_full,preadjustment,uncertainties,offsets_preadj,offsets_preadj_u,offsets_post,offsets_post_u,numberofxovers,trends_pre,trends_adj,intercept_pre,intercept_post
09AR20060102,0.0,0.0,-1.0945502183649085,0.0,0.4352484744921226,0.9067687445428319,0.5643539116623856,1.0705416261388476,0.4352484744921226,15.0,0.0,0.0,0.6458728875548496,0.8558301708534579
09AR20071216,0.0,0.0,0.10865232988312264,0.0,0.44978697193198003,-0.3137126961915707,0.516764523900602,-0.2971685523214813,0.44978697193198003,12.0,0.193117859694307,0.1838012053955418,-0.2471533161247224,-0.21490915996716137
09AR20080322,0.0,0.0,-1.455761088177918,0.0,0.27313594825657306,1.5212118072613319,0.4068416542014261,1.5436482246169332,0.27313594825657306,12.0,0.22538647196302647,0.19230335989617106,1.5083530559527083,1.546009419315245
09AR20110104,0.0,0.0,-0.4970949590942321,0.0,0.32024570936389957,0.3321236181467477,0.4011078908293677,0.3957617903054232,0.32024570936389957,14.0,0.18597704773150647,0.18697946796176668,0.3611843811731419,0.4210083363749736
09AR20141205,0.0,0.0,0.7697006251799823,0.0,0.41520225875178907,-0.7852694293543917,0.5111870122729253,-0.7457306853308898,0.41520225875178907,11.0,0.2237008110123837,0.19798429795122527,-0.9518457518006118,-0.838753349715618
09AR20160111,0.0,0.0,-0.9026447391379434,0.0,0.4399977378649052,1.2080260750975556,1.146848171135166,1.35884963598772,0.4399977378649052,9.0,0.0,0.0,1.893720579553705,0.7297945879800699
09FA20000926,0.0,0.0,-1.4772785520054987,0.0,0.6736667562128367,2.0740457038701443,0.5125674852999319,1.1295084629822267,0.6736667562128367,13.0,0.0,0.0,1.9713677174224384,1.0090342099867293
09FA20010524,0.0,0.0,0.3835152833792842,0.0,0.3323869274716456,0.22408487326078952,0.4051362898756935,0.054147334646947334,0.3323869274716456,14.0,0.08771701713919354,0.07026705020153065,0.33716122847898644,0.1907819994809193
09SS20090203,0.0,0.0,0.11052437983149153,0.0,0.3823085006908944,0.42282962638644067,0.4344643682418008,0.3197645256211558,0.3823085006908944,14.0,0.06267147471510401,0.05969969911640302,0.7251878434960664,0.9358891015316315
18DD19890213,6.2245136660336815,6.2245136660336815,6.557122196754965,0.0,3.169609559676904,-6.702304567295135,1.27273183947463,-4.901973216666381e-16,0.762785113686746,17.0,0.0,0.0,-8.072777967210229,-2.0380858986747667
