Adjustments,expocode
-0,49SU19981007
-0,49SU19990121
-0,49SU19990428
-0,49SU19990709
-0,49SU19990830
-0,49SU19991006
-0,49SU20000121
-0,49SU20000507
-0,49SU20000628
-0,49SU20000817
-0,49SU20001011
-0,49TA19980418
-0,49TA20010417
-0,49TA20011005
-0,49TA20020108
-0,49TA20020313
-0,49TA20020416
-0,49TA20020705
-0,49UF20010119
-0,49UF20010509
-0,49UF20010710
-0,49UF20020117
-0,49UF20020625
-0,49UF20021031
-0,49UF20030225
-0,49UF20030422
1.11803948758273,49UF20030625
-0,49UF20031028
-0,49UF20040120
0.54323215630953,49UF20040421
0.994730659067628,49UF20040616
-0.249998780713097,49UF20050118
-0.527313660169144,49UF20050419
-0,49UF20050615
-0.405480301155393,49UF20060118
0.193029942662565,49UF20060418
-3.91155607617026,49UF20060614
-3.69224126555135,49UF20070117
-2.467789091862,49UF20070424
-2.7725535582807,49UF20071023
-3.34134058927519,49UF20080117
-2.63079951013916,49UF20080422
-0,49UF20080617
-0,49UF20080804
-0.527499378004757,49UF20090116
-4.44134217318778,49UF20090422
-2.23800756932473,49UF20090610
-3.60402514696197,49UF20091022
-3.4471691613867,49UF20100108
-0,49UF20100414
-5.21462661723386,49UF20100524
-4.59525728984283,49UF20100615
-6.87804333820097,49UF20100811
-7.84174943736885,49UF20101002
-6.68490101606598,49UF20101109
-0.585909576976458,49UF20101203
-3.10331151472516,49UF20110108
-3.06558349882821,49UF20110205
-3.25807218018905,49UF20110617
-2.95480995430882,49UF20111004
-4.88707214260893,49UF20111205
-4.83885793242388,49UF20120108
-4.52559313749728,49UF20120204
-1.95590480558534,49UF20120410
-4.39513559249179,49UF20120429
-0,49UF20120602
-3.41800839171889,49UF20120621
-4.94104043813336,49UF20120826
-4.79418906658946,49UF20121024
-4.4864719530355,49UF20121210
-3.88672410009164,49UF20130107
-4.70604231968369,49UF20130203
-6.37381780873443,49UF20130412
-5.08751072832747,49UF20130531
-3.08078870054188,49UF20130627
-3.57607736412535,49UF20131006
-4.18137555545295,49UF20131029
-0,49UF20140107
-3.71982750354279,49UF20140206
-6.82202597307298,49UF20140410
-4.11841512202899,49UF20140512
-4.15832917463617,49UF20140623
-3.024338378948,49UF20140904
-3.91748775772894,49UF20150107
-3.18248821706693,49UF20150202
-2.95504070062155,49UF20150415
-3.73820983767145,49UF20150511
-3.22206902168045,49UF20150620
-4.11584477917663,49UF20151021
-4.41041525465748,49UF20160107
-4.86780935485007,49UF20160201
0.562151637916514,49UF20160407
-5.01260133641662,49UF20160512
-0.25090623283421,49UF20160618
-2.18121092795609,49UF20160730
-2.86819524608151,49UF20160917
-2.64219090870848,49UF20161116
-1.79755291685882,49UF20170110
-3.48450851636774,49UF20170228
-2.29665552878704,49UF20170408
-3.19853688877748,49UF20170502
-1.22590910099566,49UF20170612
-2.43725051543121,49UF20170719
-5.81188711533667,49UF20171107
-2.83695332625492,49UF20180129
-1.07175682954755,49UF20180406
-2.9052836845023,49UF20180518
-1.50302936180348,49UF20180709
-7.36178461293544,49UF20180927
-3.09786505362921,49UF20190207
-2.69456818912959,49UF20190424
-0,49UF20190604
-2.95793295111793,49UF20190716
-8.07758573356391,49UF20190916
-1.95373376818231,49UF20200108
-2.0792819127959,49UF20200201
-3.80439417183788,49UF20200605
-1.0925345005539,49UF20200619
-3.12807116751621,49UF20200730
-7.34181712954804,49UF20201021
-0.861549768339348,49UF20210202
-0.573637119717532,49UF20210407
-4.580495012347,49UF20210515
2.014992675853,49UP19970121
-0,49UP19970530
-0,49UP19970623
-0,49UP19970912
-0,49UP19980609
-0,49UP19980703
-0,49UP19980916
-0,49UP19990419
-0,49UP19990917
-0,49UP20000420
-0,49UP20000507
0.762592609140918,49UP20000620
-0,49UP20000920
-0,49UP20001105
-0,49UP20010424
-0,49UP20010619
-0,49UP20011010
-0,49UP20020424
-0,49UP20020620
-0,49UP20021001
-0,49UP20030425
4.51509526360873,49UP20030620
-1.1858755876487,49UP20030714
1.00594805462746,49UP20040114
1.38461801687997,49UP20040608
4.26255552492545,49UP20040704
0.290112073944541,49UP20041021
-2.05561381887731,49UP20050114
-0.434858274324815,49UP20050615
-2.62376397736535,49UP20050708
-1.44316263099622,49UP20051021
1.64817221319464,49UP20060113
2.26684669206984,49UP20060607
0.758085769759337,49UP20060630
7.16776795016534,49UP20061021
-1.54882012900166,49UP20070118
-2.4229538474822,49UP20070606
1.65058329794208,49UP20070615
1.93952140768197,49UP20070724
-0.855640056147836,49UP20080122
-2.78535073577844,49UP20081105
-1.84904641468915,49UP20090117
-2.66311284865857,49UP20090916
-1.95750552533287,49UP20100115
-0,49UP20100417
-1.30308727192455,49UP20100514
-3.29594466602342,49UP20100706
-4.16350109398909,49UP20101110
-4.22744469981622,49UP20110107
-0,49UP20110307
-9.63992512309451,49UP20110912
-5.31349135645956,49UP20111205
-4.86888078574618,49UP20120111
-4.50634505592552,49UP20120306
-5.30834143311971,49UP20120410
-3.58652416900282,49UP20120602
-4.4296307979751,49UP20121116
-2.86486626865569,49UP20130109
-4.77734143725225,49UP20130307
-4.57013987395257,49UP20130409
-4.77536971163691,49UP20130426
-4.1616295514317,49UP20130619
-4.18113572190799,49UP20130731
-2.45687606686902,49UP20131128
-3.44826454267416,49UP20140108
-3.89714585362856,49UP20140307
-2.3066743372174,49UP20140411
-1.67662014360996,49UP20140429
-2.34408312884706,49UP20140609
-4.30955223228776,49UP20140703
-2.43139920048844,49UP20140728
